,close,close,close,close,close,volume,volume,volume,volume,volume,fluctuation,fluctuation,fluctuation,fluctuation,fluctuation,relative_hl_close,relative_hl_close,relative_hl_close,relative_hl_close,relative_hl_close
fsym_tsym,BTC_USD,DASH_USD,ETH_USD,LTC_USD,XMR_USD,BTC_USD,DASH_USD,ETH_USD,LTC_USD,XMR_USD,BTC_USD,DASH_USD,ETH_USD,LTC_USD,XMR_USD,BTC_USD,DASH_USD,ETH_USD,LTC_USD,XMR_USD
time,,,,,,,,,,,,,,,,,,,,
2017-09-17 07:00:00,3573.5559999999996,294.15333333333336,246.1225,49.589999999999996,92.03666666666668,1735775.8199999998,28053.534999999996,641206.9475,253603.18399999998,48323.68333333333,0.016539025807688245,0.012017842889003793,0.011615663951585394,0.011546291938163596,0.012323693761930885,0.4329979146796082,0.6648726181703335,0.6260966536370062,0.699497153700188,0.2602967613834564
2017-09-17 08:00:00,3595.1459999999997,296.70666666666665,246.485,49.89200000000001,92.75666666666667,993195.8119999999,11374.503333333334,506322.725,168423.802,50555.5,0.009757955088519506,0.02036878821364908,0.009524002945396978,0.012611032544309625,0.011228454337467837,0.8913884116832242,0.8568330149633862,0.6174368464682038,0.742455253185845,0.7208023510618463
2017-09-17 09:00:00,3670.8059999999996,302.99333333333334,253.555,51.370000000000005,94.12333333333333,3407073.8060000003,145753.64333333334,1672019.0175,889895.148,72473.88,0.027629551654278828,0.032183434560902384,0.0319689129335798,0.035049850032379586,0.03470384404355042,0.8560688722796538,0.9378947368421059,0.975915913570768,0.9099305907584558,0.6794204255415655
2017-09-17 10:00:00,3669.62,301.62000000000006,253.1875,50.94,95.44,2756195.54,42255.96333333334,1476040.395,563409.062,128859.47999999998,0.01969687868624072,0.01971956345775956,0.01717291291680493,0.02382586999118192,0.024202737100090608,0.4797809173930424,0.535201175271336,0.4271895977084759,0.24989268804401563,0.741472132437195
2017-09-17 11:00:00,3688.8119999999994,304.31,255.55999999999997,51.226,95.60000000000001,1796634.516,30408.423333333336,1091744.3225,466855.36,49460.88333333333,0.01301470369462692,0.010839240482461201,0.015808529789167438,0.016456062523575756,0.008893272388915926,0.7016059457920745,1.0,0.8412854544884483,0.6255194374691243,0.41180124223602316
2017-09-17 12:00:00,3736.9,307.94666666666666,258.595,51.934000000000005,95.74333333333334,4317024.211999999,122468.13666666667,1998191.6,736364.632,98070.52333333332,0.020476827640675776,0.019406302113363746,0.020795282418832627,0.022378528566192428,0.01500476789865228,0.7739958107727878,0.8401790852655587,0.6761284477835413,0.8296504573104446,0.24370732821961646
2017-09-17 13:00:00,3773.546,308.3,263.55,52.562,96.75999999999999,3464502.9060000004,83592.73,2189333.8925,874605.246,56442.823333333334,0.018577578860516825,0.012421917750876796,0.030830814002088886,0.02537322907155982,0.02010649085184947,0.7431308545272983,0.9675938116035935,0.7595600410873353,0.5401127339738848,0.729922897820528
2017-09-17 14:00:00,3730.932,306.76666666666665,262.025,52.004,96.00999999999999,3018100.6119999997,143391.23,1730449.835,760851.0380000001,63484.706666666665,0.022599154885590427,0.012022082139555045,0.02428444477881386,0.031078065870317206,0.020438157620161712,0.2520895257053487,0.591725694308562,0.41005018923810954,0.2871762589928055,0.38123226442003894
2017-09-17 15:00:00,3735.576,309.43,262.96,52.314,96.16333333333334,1337753.52,118748.42333333334,563732.4199999999,463273.284,6521.94,0.009839324828418526,0.014870552503714727,0.012616243305233345,0.01768274499050526,0.013504953031138035,0.3045189320502938,0.8546183206106909,0.6068357155281962,0.5061701811701803,0.40816463936039854
